Iteration	Replicate_ID	Posterior	Likelihood	Prior	branch_lengths[1]	branch_lengths[2]	branch_lengths[3]	branch_lengths[4]	branch_lengths[5]	branch_lengths[6]	branch_lengths[7]	branch_lengths[8]	branch_lengths[9]	branch_lengths[10]	branch_lengths[11]	branch_lengths[12]	branch_lengths[13]	branch_lengths[14]	branch_lengths[15]	branch_lengths[16]	branch_lengths[17]	branch_lengths[18]	branch_lengths[19]	branch_lengths[20]	branch_lengths[21]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]
15	1	-3689.421	-3715.767	26.34614	0.0959772	0.832828	0.0114797	0.0530631	0.00112901	0.0180588	0.0122748	0.00234907	0.0382986	0.00393734	0.0170036	0.031292	0.156513	0.0273653	0.00826437	0.000628227	0.00117615	0.0350696	0.0564206	0.00506595	0.0498011	0.195358	0.250139	0.211292	0.343211	0.0711592	0.144822	0.0674291	0.124241	0.0902371	0.070129
16	0	-3230.016	-3157.777	-72.23879	2.22161	0.184173	0.312659	1.26168	0.181921	0.232095	0.055459	0.0369862	0.496259	0.247718	0.321716	0.421148	0.616945	0.273152	1.26285	0.325803	0.151213	0.360517	2.39263	0.0272295	0.482011	0.200731	0.154854	0.268761	0.375655	0.00344678	0.00724981	0.000888175	0.00218751	0.00453356	0.000433152
17	1	-3679.137	-3704.828	25.69108	0.0229526	0.893972	0.00268497	0.0906854	0.00107688	0.018249	0.00915048	0.001598	0.0300464	0.00281675	0.0195786	0.0175528	0.123841	0.0175765	0.00409663	0.000697293	0.00220044	0.0356802	0.0800999	0.00887322	0.0531386	0.227013	0.156475	0.277981	0.338531	0.116342	0.1277	0.0986473	0.0963117	0.145606	0.0703431
18	0	-3222.699	-3163.08	-59.6195	2.3752	0.215786	0.404999	0.650761	0.0476612	0.390197	0.0771367	0.0264949	0.195273	0.149806	0.332885	0.148891	0.374536	0.299079	1.19925	0.0750243	0.304772	0.0839031	2.65681	0.0744191	0.508853	0.123797	0.26954	0.426255	0.180407	0.00223814	0.0107584	0.00386902	0.00211345	0.010616	0.00124519
19	1	-3676.628	-3703.492	26.86403	0.00673706	0.832239	0.00935889	0.0789281	0.00534204	0.0166799	0.0039055	0.000906895	0.0217905	0.00329811	0.00899263	0.0171208	0.0674469	0.0198583	0.0308802	0.00123555	0.00152275	0.0279068	0.0963445	0.00842976	0.0626014	0.217641	0.189133	0.329826	0.2634	0.110121	0.104555	0.108876	0.0847975	0.149344	0.0950041
20	0	-3222.97	-3161.157	-61.81364	2.38627	0.277023	0.219079	0.579906	0.191809	0.402154	0.0423807	0.0720233	0.39148	0.233644	0.209257	0.460678	0.171514	0.221905	1.1385	0.084826	0.122203	0.338069	2.65681	0.0782654	0.536852	0.131705	0.160334	0.487891	0.22007	0.00650423	0.00352972	0.0038558	0.00221068	0.0104139	0.000831361
21	1	-3678.936	-3704.86	25.92474	0.00486648	0.874895	0.0194258	0.0503214	0.00553192	0.0176237	0.00653394	0.00197986	0.0132862	0.00374163	0.0114478	0.0135794	0.138018	0.0108292	0.0124993	0.00204894	0.00134611	0.0351342	0.135148	0.0133189	0.0377262	0.244041	0.212076	0.248531	0.295352	0.113888	0.123123	0.104586	0.136229	0.114931	0.0660931
22	0	-3219.766	-3168.664	-51.10136	2.19754	0.258011	0.235961	0.698609	0.318009	0.383671	0.0128304	0.0132539	0.1535	0.431243	0.140999	0.159249	0.418842	0.121475	1.11358	0.106839	0.0998303	0.112578	2.37117	0.162614	0.237156	0.215785	0.255238	0.247909	0.281068	0.002203	0.00878017	0.00218689	0.00319535	0.00614695	0.00128841
23	1	-3677.084	-3704.147	27.06227	0.0052882	0.932147	0.0258849	0.0571463	0.00527924	0.0153935	0.0037406	0.000909965	0.0166952	0.0063234	0.00950148	0.00794865	0.075314	0.0164437	0.0150616	0.000369067	0.00017967	0.0202342	0.0609218	0.0104218	0.0403231	0.242053	0.207423	0.246506	0.304018	0.0596003	0.114026	0.118539	0.138069	0.116206	0.0824318
24	0	-3225.638	-3173.552	-52.0853	2.13388	0.271986	0.108107	0.500512	0.41468	0.733487	0.00791401	0.0183055	0.357845	0.240694	0.084333	0.0846197	0.229296	0.10546	1.64558	0.0696639	0.0727688	0.119448	2.35936	0.0586244	0.233762	0.305073	0.132487	0.149444	0.412996	0.0016404	0.00857804	0.00138576	0.00317582	0.00338915	0.000667866
25	1	-3674.53	-3701.434	26.90389	0.0117695	0.874692	0.0154396	0.0677757	0.00227914	0.0123973	0.00949271	0.00100401	0.012929	0.00387565	0.017397	0.0121179	0.0778045	0.0300496	0.00542293	0.000339196	0.000545705	0.0218141	0.0881752	0.0111557	0.0462587	0.203615	0.178337	0.356662	0.261387	0.086545	0.119371	0.120443	0.115922	0.138379	0.0668422
26	0	-3213.427	-3168.51	-44.91794	2.11611	0.146224	0.266802	0.671548	0.0822628	0.376932	0.00834182	0.00401225	0.154516	0.140028	0.148114	0.0799607	0.222289	0.0617422	1.18379	0.146418	0.219058	0.0693979	2.78025	0.0222664	0.225331	0.253715	0.198641	0.268434	0.27921	0.00226448	0.00843243	0.001654	0.00329901	0.008124	0.00325163
27	1	-3680.598	-3706.03	25.43114	0.0203613	0.897438	0.0131659	0.0543151	0.000973525	0.0122062	0.0143682	0.000619671	0.0321302	0.00162287	0.0293972	0.00591957	0.120414	0.0155332	0.00512412	0.000257335	0.000497367	0.0426181	0.0902888	0.00812044	0.0318085	0.227866	0.170437	0.309179	0.292518	0.143314	0.123894	0.113531	0.0841281	0.168126	0.08734
28	0	-3211.495	-3159.138	-52.35624	2.20345	0.202796	0.192505	0.972526	0.119572	0.193592	0.0144524	0.00133728	0.453965	0.110228	0.11897	0.140942	0.302982	0.0865188	0.920062	0.181917	0.240378	0.107035	2.78025	0.00790673	0.523912	0.266426	0.208592	0.2472	0.277782	0.00396777	0.00703796	0.00111448	0.00223476	0.0053198	0.00128029
29	1	-3677.458	-3704.217	26.75975	0.00666752	0.810945	0.0288547	0.0712653	0.00108117	0.0366485	0.00923097	0.000164698	0.0270372	0.00153766	0.0172053	0.00294218	0.0582018	0.00684448	0.0058117	8.56912e-05	0.00057332	0.0144127	0.101954	0.0150194	0.0539272	0.238566	0.164541	0.281892	0.315001	0.102282	0.143803	0.0948067	0.149283	0.12419	0.0998755
30	0	-3212.721	-3147.29	-65.43131	2.25229	0.298679	0.500638	0.66616	0.0874027	0.277967	0.0105162	0.00132177	0.400354	0.126511	0.0603418	0.169314	0.629419	0.0930885	1.43314	0.0802605	0.253039	0.11795	3.08498	0.0366266	0.603772	0.113225	0.272423	0.332545	0.281807	0.00198086	0.00711582	0.00156543	0.00211338	0.00649162	0.000719739
31	1	-3681.628	-3708.588	26.9596	0.0210071	0.836562	0.0102722	0.0810357	0.00080697	0.0160169	0.0100525	0.00021831	0.0170457	0.00119516	0.0104222	0.00455297	0.121747	0.00890685	0.00855712	4.82962e-05	0.00113118	0.0100718	0.0767827	0.00719581	0.0188871	0.243451	0.154103	0.264011	0.338434	0.0833329	0.168779	0.120421	0.123368	0.13156	0.0746884
32	0	-3218.223	-3168.317	-49.90602	2.25229	0.314928	0.182263	0.502608	0.314769	0.29893	0.0148128	0.00421552	0.391969	0.0800232	0.0440918	0.245547	0.473528	0.215694	1.08332	0.100256	0.0813162	0.285026	2.36869	0.0547361	0.317784	0.221376	0.285033	0.227338	0.266252	0.00207243	0.0101406	0.00164351	0.00174453	0.00751815	0.00130631
33	1	-3679.13	-3705.708	26.5776	0.0363468	0.936461	0.00842803	0.0614727	0.00109606	0.0379471	0.00849956	0.000976355	0.0269975	0.000879239	0.0184705	0.00655536	0.0906745	0.00909303	0.00662322	1.99933e-05	0.00185261	0.0486678	0.130552	0.00604177	0.0388381	0.228298	0.185062	0.31705	0.269589	0.0551781	0.0742287	0.0752952	0.0985513	0.152091	0.0710294
34	0	-3218.835	-3151.705	-67.1296	2.31314	0.30278	0.153869	1.49419	0.143586	0.277573	0.00845244	0.00417667	0.206858	0.0524613	0.16181	0.212886	0.442827	0.241717	1.11935	0.141817	0.0509116	0.168414	3.2406	0.0235022	0.587019	0.191034	0.224361	0.183992	0.400614	0.00174229	0.0107944	0.00299308	0.00369918	0.00473255	0.00167809
35	1	-3674.304	-3701.3	26.99661	0.0222962	0.853565	0.00582266	0.0739649	0.00445225	0.0343671	0.00108476	0.000782991	0.031464	0.00332721	0.0281787	0.0130056	0.0649842	0.00549748	0.00822026	1.56868e-05	0.000808665	0.0350132	0.0913564	0.0209675	0.0714144	0.235456	0.246125	0.240379	0.278041	0.0831032	0.119262	0.102041	0.0989513	0.112948	0.0740707
36	0	-3217.42	-3163.471	-53.94922	1.97134	0.207664	0.25174	0.82893	0.161791	0.203819	0.0169005	0.00206071	0.225943	0.149799	0.133163	0.173645	0.384437	0.148101	1.13339	0.0373744	0.0506276	0.172959	3.2406	0.0395206	0.501854	0.300095	0.152771	0.248122	0.299011	0.00169433	0.00923746	0.00045398	0.0035421	0.0042718	0.000689527
37	1	-3680.53	-3706.15	25.61929	0.0238882	0.869253	0.00895234	0.0471109	0.0025559	0.0223401	0.00291699	0.00058521	0.0336694	0.0113374	0.0141151	0.0114276	0.0557638	0.010395	0.00754746	4.42524e-05	0.00137854	0.030581	0.101334	0.0264435	0.050425	0.230308	0.240744	0.256986	0.271963	0.116074	0.16615	0.0976778	0.129107	0.145421	0.112204
38	0	-3217.041	-3166.256	-50.78478	2.31689	0.180785	0.14332	0.687785	0.126249	0.272618	0.00979294	0.00561614	0.390508	0.281876	0.19453	0.0418536	0.653086	0.0778977	1.0099	0.0601765	0.102046	0.0864679	2.42453	0.0297058	0.617962	0.251723	0.215506	0.28455	0.248221	0.00169491	0.010976	0.000586495	0.00490378	0.00584383	0.00150598
39	1	-3680.358	-3707.092	26.73425	0.00654945	0.835842	0.00437957	0.0717881	0.00199886	0.0299291	0.00326038	0.000326868	0.0153122	0.0188706	0.0228004	0.0162638	0.0716185	0.0164867	0.0090693	6.48745e-05	0.0018297	0.0413474	0.11319	0.0141615	0.0445876	0.221791	0.243408	0.259829	0.274972	0.073143	0.125698	0.123253	0.0949189	0.0993612	0.131149
40	0	-3219.544	-3156.574	-62.96943	2.40023	0.228944	0.269997	0.487344	0.0624204	0.395443	0.0357084	0.00242354	0.324154	0.118657	0.208135	0.0255944	0.463586	0.231619	2.01613	0.294975	0.0508879	0.089551	2.57993	0.00482355	0.649053	0.217169	0.176314	0.216784	0.389733	0.0016912	0.0063094	0.000388926	0.00406245	0.004874	0.000632885
41	1	-3680.368	-3706.564	26.19603	0.0162343	0.835842	0.00353138	0.0538645	0.00171652	0.0130039	0.00159786	0.0012356	0.0589353	0.0156811	0.0337039	0.012534	0.12015	0.0202543	0.01554	0.000233656	0.00509148	0.0355763	0.139559	0.0112331	0.0632481	0.212398	0.235536	0.268217	0.283849	0.0556179	0.119398	0.0974204	0.109195	0.108513	0.0921134
42	0	-3216.932	-3166.761	-50.17105	2.45564	0.267661	0.275979	0.489768	0.113415	0.149197	0.0293265	0.00378077	0.240715	0.051231	0.25277	0.029031	0.401001	0.178769	0.991262	0.138037	0.0412367	0.106219	2.71661	0.00845802	0.710114	0.312481	0.163498	0.20645	0.31757	0.0031993	0.0113059	0.00133275	0.00322067	0.00734704	0.00110555
43	1	-3671.645	-3697.776	26.13163	0.0103018	0.891977	0.00360169	0.0760022	0.00554735	0.0267851	0.000965251	0.00120987	0.0214799	0.00449853	0.0216398	0.0224639	0.119812	0.0151205	0.00519464	0.000338995	0.0213906	0.0297801	0.0961958	0.00445753	0.0498224	0.217008	0.218945	0.274038	0.290009	0.0819172	0.127521	0.103302	0.101413	0.118697	0.0860281
44	0	-3222.873	-3162.67	-60.20334	2.28505	0.291853	0.438143	0.760292	0.264041	0.228553	0.0218717	0.00360393	0.6216	0.202799	0.265151	0.010401	0.151479	0.116965	1.08433	0.394466	0.00694222	0.143399	2.6639	0.0064325	0.695638	0.13942	0.119946	0.484295	0.25634	0.00177719	0.00737396	0.0028228	0.00113491	0.00899812	0.00194226
45	1	-3679.842	-3706.124	26.28185	0.0154001	0.919082	0.0165635	0.0718913	0.0154018	0.0157259	0.000541879	0.00124204	0.0236914	0.00500732	0.020799	0.011601	0.0628223	0.0062334	0.00434974	0.000338016	0.0172291	0.0232525	0.140983	0.00503031	0.0375516	0.217572	0.147957	0.327761	0.30671	0.0893262	0.13356	0.103947	0.0985624	0.13766	0.0546472
46	0	-3219.367	-3162.502	-56.8645	2.32364	0.17166	0.379641	0.821061	0.0954415	0.244393	0.0139223	0.00567118	0.395929	0.198774	0.421045	0.0144352	0.168456	0.220475	1.24968	0.192678	0.00462436	0.030883	2.6639	0.0075899	0.698299	0.108726	0.181496	0.443872	0.265905	0.00740732	0.00411371	0.00251972	0.00119705	0.00757576	0.00206565
47	1	-3673.528	-3700.336	26.80795	0.0135764	0.902139	0.0259794	0.0571173	0.00394368	0.0192037	0.00080792	0.00169784	0.0237827	0.0145144	0.0215444	0.00468347	0.0764661	0.00480041	0.00918206	0.00171503	0.0139259	0.0283426	0.0859012	0.0052774	0.0363807	0.256975	0.173279	0.24185	0.327896	0.0784017	0.136364	0.0961186	0.122475	0.118504	0.0769868
48	0	-3221.466	-3166.009	-55.45633	2.59349	0.278873	0.203342	0.358829	0.15532	0.667825	0.0121883	0.00656437	0.373951	0.0850218	0.302917	0.0346856	0.236639	0.141808	1.19329	0.173284	0.00876762	0.0263401	2.57551	0.0297007	0.716936	0.0861366	0.3017	0.411791	0.200372	0.00742495	0.0116225	0.00315907	0.00268546	0.00524718	0.000833676
49	1	-3677.554	-3704.672	27.11839	0.0106726	0.831245	0.0158541	0.0636641	0.00656429	0.026117	0.000391276	0.00552901	0.0150889	0.0102252	0.0139597	0.00406502	0.0384621	0.00341234	0.0148008	0.00531759	0.0106311	0.023383	0.066922	0.00303888	0.0308936	0.184739	0.222068	0.353013	0.24018	0.117965	0.113208	0.148845	0.101545	0.172882	0.0941049
50	0	-3213.597	-3162.088	-51.50994	2.13548	0.244659	0.141686	0.774924	0.143951	0.74075	0.0334704	0.0110759	0.20922	0.0594884	0.180635	0.0122566	0.292287	0.318276	0.975933	0.269455	0.0131194	0.0844615	2.61863	0.0182158	0.511342	0.139867	0.163308	0.371463	0.325362	0.00456543	0.00782091	0.000489558	0.0012589	0.00737273	0.000795664
51	1	-3675.694	-3702.368	26.67353	0.0213491	0.785415	0.0136755	0.0773947	0.00183522	0.0228723	0.000253818	0.00501661	0.0353761	0.00950976	0.0230708	0.00716939	0.0960555	0.00676345	0.00800038	0.0027594	0.011486	0.0467258	0.115048	0.00611642	0.0306264	0.219065	0.231345	0.331759	0.217831	0.0924418	0.108384	0.137675	0.0771425	0.161538	0.0895733
52	0	-3218.846	-3164.549	-54.29722	2.13548	0.238184	0.152836	0.487586	0.130196	0.447911	0.196281	0.023551	0.281425	0.112149	0.142598	0.0196324	0.338372	0.292887	1.3263	0.312821	0.0234193	0.205432	2.35397	0.0377679	0.808158	0.164934	0.303274	0.342797	0.188995	0.00276644	0.0085753	0.00130565	0.00135615	0.00699434	0.00239738
53	1	-3676.344	-3702.861	26.51643	0.0256869	0.799063	0.011287	0.0820705	0.00219646	0.0130843	0.00200429	0.00359218	0.0101784	0.00813077	0.0132806	0.00816403	0.0703051	0.0058573	0.00467935	0.000649345	0.00668159	0.0167401	0.134411	0.00238517	0.0333052	0.219681	0.228625	0.33325	0.218444	0.102535	0.131205	0.145887	0.0969769	0.16906	0.109567
54	0	-3220.225	-3150.977	-69.24802	2.14032	0.326289	0.401744	0.692299	0.0590407	0.872596	0.190496	0.026246	0.294794	0.0881512	0.527006	0.0150749	0.322492	0.271955	1.21569	0.397576	0.0450288	0.120443	2.78082	0.0330873	0.746344	0.105419	0.303468	0.374589	0.216524	0.00359114	0.00664688	0.000706658	0.00140089	0.00442629	0.00115962
55	1	-3675.656	-3703.187	27.53162	0.0385047	0.799063	0.00493378	0.0510062	0.00432196	0.0267655	0.00169818	0.000995987	0.024416	0.0143722	0.0257271	0.00269919	0.0533811	0.0142623	0.00267345	0.00288256	0.00846786	0.0116537	0.0693411	0.00349059	0.0375617	0.222605	0.204378	0.337685	0.235331	0.0815806	0.125331	0.124895	0.130634	0.150382	0.096423
56	0	-3214.117	-3149.859	-64.25827	2.42124	0.26159	0.345756	0.70404	0.175749	0.401262	0.20552	0.0157909	0.242339	0.175668	0.339848	0.00351243	0.260965	0.344137	1.15579	0.222844	0.0694413	0.203473	2.8648	0.0295151	0.616855	0.101916	0.163347	0.225058	0.509679	0.00533378	0.0124294	0.00175226	0.00262155	0.00351492	0.000660193
57	1	-3680.834	-3706.935	26.1016	0.025024	0.89326	0.00302844	0.0638652	0.00459921	0.0133415	0.00386876	0.00149114	0.0407029	0.00982936	0.0117708	0.0192204	0.0466132	0.0190848	0.00199317	0.00475666	0.00665206	0.0235338	0.0886057	0.0167272	0.0755117	0.226804	0.233611	0.317984	0.221601	0.0719823	0.121874	0.137946	0.0888121	0.139102	0.11727
58	0	-3214.605	-3156.018	-58.58674	2.35955	0.175972	0.276761	0.923914	0.124833	0.337182	0.119623	0.0273362	0.451809	0.172428	0.135277	0.00172706	0.17615	0.138007	1.23732	0.228516	0.0806179	0.199504	2.83276	0.0701285	0.427175	0.151842	0.137687	0.195996	0.514474	0.00362943	0.00905172	0.00104331	0.0042566	0.00406007	0.000663282
59	1	-3684.298	-3710.881	26.58377	0.039347	0.852299	0.00197601	0.0518357	0.00374553	0.0171557	0.00321147	0.0010199	0.0404809	0.00909155	0.0395678	0.00430387	0.0638732	0.0320755	0.00116533	0.0141164	0.00685557	0.035161	0.0839156	0.0107425	0.0834244	0.218425	0.22498	0.343181	0.213414	0.0862474	0.140042	0.0772233	0.0920993	0.119123	0.0921501
60	0	-3223.219	-3162.226	-60.99317	2.20611	0.158689	0.572054	0.452666	0.216896	0.172516	0.0356033	0.019869	0.30894	0.329231	0.177051	0.00158369	0.100337	0.142553	1.22161	0.172891	0.108224	0.418748	3.09244	0.166776	0.655372	0.0841564	0.241138	0.163263	0.511443	0.00403593	0.0143126	0.00152404	0.00522943	0.00451408	0.000165488
61	1	-3680.941	-3707.083	26.1423	0.0381508	0.84745	0.00131216	0.07141	0.00256938	0.0131322	0.00300272	0.000888273	0.0274165	0.0151475	0.0255046	0.00136692	0.113681	0.0122888	0.000573891	0.0147913	0.0200978	0.0728568	0.130711	0.0233228	0.080425	0.227199	0.254657	0.288997	0.229147	0.0522536	0.0963714	0.094259	0.0882805	0.116766	0.0823662
62	0	-3212.436	-3154.404	-58.03126	2.26583	0.175398	0.398573	0.530064	0.0713403	0.377624	0.0125321	0.0294418	0.467422	0.048502	0.295863	0.000916748	0.209029	0.0591687	1.59318	0.0203289	0.118172	0.267186	2.90702	0.188927	0.394349	0.0971775	0.240195	0.127377	0.53525	0.00174333	0.0201344	0.00118203	0.00427783	0.0047339	0.000811129
63	1	-3673.693	-3699.677	25.98455	0.0260013	0.935208	0.00129396	0.0863206	0.00173768	0.0245432	0.0013196	0.000869476	0.0260553	0.0151782	0.011526	0.0029693	0.116094	0.012844	0.000917142	0.00477037	0.0138805	0.0446155	0.0876069	0.029584	0.0641105	0.249394	0.192087	0.311516	0.247003	0.0687294	0.0922876	0.0908213	0.088218	0.13328	0.0813906
64	0	-3209.295	-3157.566	-51.7288	2.26583	0.184931	0.200734	0.817834	0.095494	0.264567	0.0112742	0.0143204	0.56082	0.0546679	0.182763	0.00328681	0.374451	0.0703382	1.16908	0.00866101	0.127225	0.267853	2.64201	0.21551	0.276329	0.0858019	0.317926	0.166245	0.430027	0.00173966	0.014837	0.00155982	0.0021355	0.00378235	0.0014631
65	1	-3688.997	-3714.344	25.34626	0.0307336	0.935208	0.000477541	0.0660219	0.00215152	0.0118456	0.00318997	0.00172902	0.031463	0.0299956	0.00790304	0.00871626	0.183443	0.00926585	0.000628326	0.0036711	0.015511	0.0208753	0.120953	0.0131525	0.038451	0.282166	0.251493	0.243625	0.222716	0.0945384	0.116345	0.0562262	0.103141	0.125751	0.094613
66	0	-3213.662	-3164.003	-49.65844	2.45254	0.289753	0.201667	0.852343	0.112549	0.403945	0.0157613	0.0533128	0.201844	0.0514295	0.123898	0.0129719	0.452077	0.216367	1.19809	0.0127944	0.150101	0.196201	2.26371	0.11373	0.216939	0.0613175	0.321581	0.182131	0.43497	0.00337256	0.0230693	0.00190514	0.00183339	0.00378636	0.000486054
67	1	-3673.84	-3701.07	27.23074	0.0242986	0.754551	0.000733222	0.0613209	0.000616705	0.0174983	0.00231916	0.00173567	0.0147664	0.0234607	0.0208288	0.00791275	0.0919209	0.0113442	0.00351755	0.00812766	0.0172754	0.0320431	0.0907612	0.00851293	0.0448513	0.255223	0.196812	0.286268	0.261698	0.0708156	0.131844	0.110826	0.146086	0.147742	0.0918413
68	0	-3216.201	-3156.511	-59.68958	2.44129	0.249286	0.245451	0.598	0.0633623	0.511138	0.0366866	0.0715102	0.387981	0.0542479	0.3878	0.011436	0.553013	0.0583626	1.05756	0.0441145	0.137685	0.180728	2.91614	0.0995327	0.493365	0.0847447	0.408072	0.118962	0.388222	0.00308803	0.0178742	0.00180852	0.00315934	0.00331981	0.00165459
