Iteration	Replicate_ID	Posterior	Likelihood	Prior	branch_lengths[1]	branch_lengths[2]	branch_lengths[3]	branch_lengths[4]	branch_lengths[5]	branch_lengths[6]	branch_lengths[7]	branch_lengths[8]	branch_lengths[9]	branch_lengths[10]	branch_lengths[11]	branch_lengths[12]	branch_lengths[13]	branch_lengths[14]	branch_lengths[15]	branch_lengths[16]	branch_lengths[17]	branch_lengths[18]	branch_lengths[19]	branch_lengths[20]	branch_lengths[21]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]
298	0	-3219.213	-3166.252	-52.96013	2.02956	0.168353	0.113592	0.391156	0.0848391	0.375772	0.0428715	0.0869634	0.0992273	0.0830369	0.436749	0.150292	0.278537	0.136083	1.45358	0.0290471	0.200347	0.131386	2.84194	0.235373	0.559524	0.0914144	0.159891	0.466891	0.281804	0.0102959	0.00683888	0.00126176	0.00117418	0.00810485	0.000736003
299	1	-3680.026	-3706.964	26.93776	0.0242576	0.81231	0.0148071	0.0939364	0.00125242	0.0263876	0.00104236	0.00692126	0.0125121	0.00387359	0.0178197	0.00856827	0.117918	0.0131507	0.00380889	0.00444262	0.00412889	0.0408687	0.0843967	0.00332292	0.0308721	0.260843	0.284194	0.216679	0.238284	0.0622137	0.123896	0.128549	0.119477	0.117912	0.0882061
300	0	-3213.718	-3154.9	-58.81834	2.3213	0.169872	0.131108	0.604736	0.0420844	0.45458	0.0376174	0.0405245	0.207268	0.0463861	0.220939	0.154794	0.569319	0.158274	1.68978	0.0383575	0.200583	0.118917	2.6827	0.150272	0.486979	0.165265	0.167839	0.387656	0.279241	0.00303107	0.0063086	0.000425151	0.00179147	0.00409186	0.000432361
301	1	-3680.133	-3707.719	27.58602	0.0072065	0.856541	0.00606185	0.0588388	0.0043921	0.0283961	0.000419548	0.00453623	0.0203573	0.00540547	0.032864	0.0027314	0.0837256	0.00224302	0.00382542	0.0221996	0.0040516	0.0486422	0.0969737	0.00149355	0.0526576	0.261594	0.187724	0.33902	0.211661	0.087236	0.0759538	0.110136	0.102533	0.109364	0.0732393
302	0	-3219.228	-3158.811	-60.41705	2.40515	0.215236	0.271906	0.371305	0.102845	0.35423	0.038952	0.0647575	0.215484	0.0420446	0.0759386	0.159114	0.416687	0.169744	1.19268	0.206866	0.0739823	0.400819	2.98495	0.259982	0.658977	0.180951	0.267256	0.282565	0.269229	0.00155391	0.0105409	0.000305666	0.00397592	0.00363916	0.000659808
303	1	-3674.028	-3701.096	27.0678	0.0287516	0.870977	0.00335333	0.0533627	0.00174986	0.0412459	0.00183219	0.000745449	0.026804	0.00374198	0.0245055	0.00495515	0.0955184	0.00428086	0.00271441	0.00323179	0.0137299	0.0317202	0.0887477	0.000645455	0.0415529	0.252783	0.210931	0.273211	0.263075	0.0705538	0.0834299	0.119825	0.122227	0.133102	0.0805419
304	0	-3218.071	-3159.024	-59.04741	2.10128	0.269783	0.470295	0.613429	0.106543	0.468436	0.00877318	0.0524554	0.237938	0.0285	0.0534156	0.0946383	0.605786	0.140793	1.80329	0.03301	0.134308	0.21265	2.66767	0.0919586	0.350059	0.189508	0.198318	0.20691	0.405263	0.00133394	0.00940184	0.000492768	0.00377849	0.00390537	0.00144901
305	1	-3672.147	-3698.605	26.45737	0.00697871	0.870977	0.00423475	0.0681929	0.000802949	0.018637	0.00393832	0.000539742	0.0262744	0.0106935	0.0293046	0.00404668	0.0969913	0.0112698	0.00300114	0.0076083	0.0174586	0.0521823	0.101419	0.00232745	0.0236304	0.258997	0.198465	0.32034	0.222198	0.0908905	0.119988	0.123211	0.112007	0.12782	0.0804641
306	0	-3215.971	-3162.072	-53.89874	2.14212	0.234904	0.315687	0.623144	0.0571674	0.14745	0.00670224	0.0294981	0.294068	0.0446862	0.0853351	0.273085	0.722845	0.0437965	1.27014	0.121474	0.300439	0.212393	2.66767	0.111171	0.315641	0.131727	0.29093	0.16053	0.416812	0.00364512	0.018993	0.000978981	0.00347068	0.00284466	0.00115548
307	1	-3674.961	-3700.761	25.79942	0.0115899	0.963202	0.00145382	0.0612346	0.00167589	0.0289355	0.0119114	0.00139582	0.0329891	0.0128418	0.0163896	0.00165321	0.0838312	0.0176656	0.00340089	0.0132627	0.010063	0.0321774	0.080881	0.00493584	0.0511804	0.242352	0.207294	0.299753	0.250601	0.0803234	0.116279	0.124475	0.0961697	0.114038	0.106729
308	0	-3215.411	-3157.872	-57.53841	2.7392	0.191718	0.431867	0.921182	0.0445924	0.176235	0.0142643	0.0107362	0.531554	0.115156	0.270641	0.123097	0.52255	0.0432236	1.02979	0.0317094	0.155372	0.224307	2.34926	0.0297306	0.434391	0.111991	0.183284	0.221853	0.482872	0.00381087	0.0110746	0.00138704	0.0025062	0.00433418	0.000782302
309	1	-3673.841	-3701.125	27.28464	0.00682147	0.845355	0.00274651	0.0536498	0.00180732	0.0265297	0.00344966	0.00312369	0.0172806	0.0138758	0.0237409	0.0019385	0.0645926	0.0228505	0.00476858	0.0204187	0.0118786	0.0450996	0.0879817	0.00277243	0.0291159	0.260212	0.222571	0.248148	0.269069	0.0759817	0.119385	0.0913015	0.137706	0.127153	0.0908374
310	0	-3212.115	-3167.024	-45.09108	2.20133	0.211266	0.542345	0.568322	0.0847833	0.153379	0.0166136	0.00421125	0.192289	0.0418819	0.299537	0.0754393	0.362916	0.0833158	1.0491	0.0530919	0.0352422	0.132056	2.35792	0.0292001	0.64808	0.135783	0.260432	0.125795	0.477989	0.00274967	0.0126863	0.0021228	0.00306815	0.0048677	0.00192201
311	1	-3676.698	-3703.312	26.61427	0.0143341	0.83458	0.00142054	0.0562827	0.0010327	0.0163968	0.00365983	0.00229184	0.0220424	0.013193	0.0213587	0.00456314	0.0721714	0.0201472	0.00584517	0.0198752	0.0223164	0.0176024	0.0868498	0.00415204	0.0292419	0.247575	0.232329	0.259028	0.261069	0.068032	0.190022	0.0957925	0.132263	0.139313	0.104419
312	0	-3218.57	-3157.928	-60.64227	2.26781	0.225331	0.336218	0.601106	0.14304	0.345346	0.0459915	0.0264909	0.118571	0.0109538	0.36017	0.236445	0.648105	0.193382	1.6998	0.102431	0.0103695	0.229112	2.63216	0.0459507	0.424022	0.0750109	0.289008	0.259169	0.376812	0.00312799	0.0073394	0.00246756	0.00258739	0.00495141	0.00157466
313	1	-3678.3	-3704.879	26.57925	0.0176137	0.882911	0.00149386	0.0476266	0.000417382	0.0135445	0.00262476	0.00170255	0.0222317	0.00671457	0.0111993	0.019864	0.089871	0.00516711	0.00896335	0.0101751	0.0115374	0.0466353	0.123493	0.0222885	0.0620777	0.238383	0.252736	0.235577	0.273304	0.0678653	0.131976	0.099417	0.108433	0.0954082	0.0914499
314	0	-3217.693	-3151.425	-66.26731	2.31063	0.249005	0.152511	0.77935	0.0740105	0.229141	0.035783	0.047504	0.315621	0.00385135	0.23749	0.352623	0.487676	0.381557	1.37185	0.0576736	0.00561337	0.612631	3.04691	0.0821475	0.435928	0.0909245	0.222319	0.244943	0.441814	0.00335587	0.00730041	0.000798498	0.00253755	0.00293001	0.000931579
315	1	-3692.951	-3719.757	26.80577	0.00934945	0.778342	0.00650014	0.0572602	0.000787751	0.0223838	0.00452451	0.00132267	0.0294488	0.0123245	0.024757	0.0201116	0.0973795	0.00631175	0.00490401	0.00818628	0.0100762	0.0608882	0.060886	0.0511435	0.0955939	0.265198	0.167657	0.271552	0.295594	0.065774	0.127354	0.10917	0.115968	0.114718	0.0845839
316	0	-3224.521	-3143.702	-80.81891	2.69366	0.210994	0.299288	0.874822	0.120856	0.495423	0.0743892	0.0355679	0.418949	0.00430932	0.443495	0.232716	0.417473	0.367454	1.25288	0.165977	0.01351	0.175026	3.1836	0.11415	1.12687	0.17852	0.13272	0.252648	0.436112	0.00245789	0.00861438	0.00131243	0.00309028	0.00497502	0.000663349
317	1	-3683.113	-3709.704	26.59095	0.00565076	0.875937	0.0169835	0.0639816	0.000718421	0.0136475	0.00695607	0.00466405	0.0362474	0.0170626	0.0381707	0.014359	0.0918349	0.0137211	0.000942876	0.0124912	0.0102296	0.0347727	0.0722121	0.0195893	0.0486257	0.264457	0.194948	0.261567	0.279028	0.0810267	0.115605	0.0581902	0.13611	0.111603	0.100198
318	0	-3214.64	-3151.574	-63.06612	2.48278	0.242526	0.11875	0.613043	0.0770124	0.439958	0.146249	0.0527261	0.327906	0.00472141	0.403342	0.15247	0.421592	0.316863	1.04695	0.149423	0.0398098	0.0903917	3.15226	0.144135	0.515328	0.0816982	0.195728	0.27786	0.444714	0.00657291	0.0139758	0.00142295	0.00240346	0.00413372	0.000487756
319	1	-3679.183	-3706.263	27.08037	0.00527208	0.769031	0.0187089	0.0361438	0.000323726	0.0225788	0.00320822	0.0173519	0.0258468	0.0179925	0.0161091	0.00907368	0.0753272	0.00878419	0.00675772	0.00812669	0.00591662	0.0415516	0.0772885	0.00375488	0.0305332	0.230363	0.244989	0.277294	0.247353	0.10276	0.143829	0.108905	0.118496	0.133688	0.145231
320	0	-3226.807	-3172.371	-54.43608	1.98093	0.19187	0.0266187	0.626015	0.16058	0.452786	0.140492	0.0362491	0.233337	0.00615669	0.171247	0.128832	0.652228	0.24244	0.849302	0.309323	0.0422773	0.0688311	2.92876	0.0933372	0.729002	0.0973048	0.059831	0.180837	0.662028	0.00441296	0.0169554	0.00132942	0.00413007	0.00442201	0.00237274
321	1	-3673.434	-3700.539	27.10486	0.00752742	0.833485	0.0117516	0.044775	0.000395523	0.0200336	0.00405601	0.00176915	0.0381851	0.00750902	0.0218328	0.0103747	0.114954	0.012389	0.00350087	0.00908806	0.0108642	0.045887	0.0566384	0.00215901	0.0384096	0.220248	0.192794	0.276027	0.310932	0.103466	0.141823	0.101521	0.108166	0.130306	0.0692739
322	0	-3217.156	-3154.846	-62.30948	2.46965	0.241708	0.0564064	0.440109	0.028556	0.272097	0.0382417	0.0132702	0.402339	0.00662618	0.310916	0.0633887	0.620376	0.328578	1.51642	0.436725	0.0587728	0.0794417	2.92876	0.118157	0.437239	0.16951	0.236695	0.168953	0.424843	0.00321923	0.0123712	0.00106755	0.00376632	0.00293267	0.000440165
323	1	-3677.729	-3704.274	26.54473	0.0558953	0.796122	0.00852405	0.0724649	0.000230012	0.0282408	0.0109375	0.00435451	0.0368727	0.00208225	0.0289167	0.00581812	0.0728253	0.0126968	0.000859231	0.0162364	0.0103303	0.0602076	0.122088	0.00360099	0.0457097	0.202528	0.197639	0.281087	0.318745	0.105406	0.116538	0.0960684	0.109252	0.114489	0.0693865
324	0	-3221.366	-3152.277	-69.08937	2.34132	0.215941	0.122936	0.863536	0.0287545	0.373629	0.0196036	0.0138667	0.29968	0.00710982	0.221183	0.107001	0.675238	0.378794	2.06356	0.144509	0.0577438	0.368792	2.53439	0.16111	0.551755	0.141088	0.304363	0.169477	0.385072	0.0010463	0.0141014	0.000676797	0.000823639	0.0022654	0.000199184
325	1	-3684.681	-3710.53	25.84886	0.0101145	0.825362	0.00523807	0.0776109	0.000167542	0.0260651	0.0113254	0.00556979	0.029061	0.00133779	0.00975465	0.00975748	0.101237	0.0158164	0.0011323	0.0198105	0.0362224	0.0572163	0.0872797	0.0151615	0.0360689	0.263543	0.182517	0.259581	0.294358	0.0939098	0.124403	0.0964105	0.168878	0.119072	0.0917579
326	0	-3211.576	-3159.805	-51.77111	2.38996	0.264532	0.0490355	0.704472	0.0932725	0.213819	0.01489	0.00710065	0.257042	0.0107772	0.211878	0.124374	0.381171	0.11873	1.104	0.0739099	0.0200509	0.379534	3.00878	0.100146	0.285389	0.145969	0.228813	0.272895	0.352323	0.00363338	0.00905989	0.00272164	0.00348532	0.00513463	0.000832228
327	1	-3686.571	-3712.254	25.68353	0.0279129	0.841049	0.00962612	0.0981572	8.77144e-05	0.0359628	0.00373174	0.00578432	0.0262236	0.0013494	0.0289749	0.00592013	0.115155	0.0212528	0.000680895	0.0114386	0.0182691	0.0617193	0.092475	0.0148293	0.0644835	0.221211	0.213247	0.217885	0.347657	0.081369	0.168247	0.0915055	0.132742	0.0837816	0.0495454
328	0	-3213.852	-3160.582	-53.27048	2.3425	0.215276	0.18453	1.03481	0.0520128	0.428937	0.0365255	0.00571905	0.375373	0.010651	0.225499	0.11012	0.169344	0.25549	0.745393	0.116026	0.0511444	0.226293	2.85179	0.318397	0.207667	0.151366	0.237272	0.246014	0.365348	0.00407819	0.00925935	0.00158237	0.0031281	0.00518226	0.000944981
329	1	-3677.386	-3702.266	24.88076	0.0246892	0.965083	0.0118258	0.0830173	0.000545261	0.0376946	0.00203805	0.00512083	0.0505559	0.0014642	0.0252955	0.00409729	0.114688	0.0125297	0.000464292	0.0109584	0.0116426	0.0468292	0.126434	0.00829866	0.0261118	0.239299	0.230685	0.273918	0.256098	0.0756601	0.100098	0.101012	0.122311	0.12388	0.0802045
330	0	-3213.386	-3150.697	-62.68898	2.25918	0.211065	0.288121	1.10523	0.0731076	0.273576	0.0595484	0.00126097	0.152296	0.0468752	0.230797	0.0607241	0.303073	0.228532	1.56211	0.132243	0.0763187	0.385596	2.95575	0.133739	0.368439	0.104674	0.195484	0.357335	0.342508	0.00458962	0.00767128	0.00103108	0.00232693	0.00491272	0.00140782
331	1	-3681.03	-3706.678	25.64757	0.0414824	0.911619	0.0199939	0.0551064	0.00101562	0.0511826	0.00198505	0.00923782	0.0231422	0.00132164	0.0186698	0.00526436	0.0627919	0.0211441	0.000278729	0.00437686	0.00957526	0.0633066	0.0909411	0.00463293	0.0802925	0.21769	0.209853	0.339486	0.232971	0.0823212	0.128474	0.0922883	0.0972435	0.129616	0.0885655
332	0	-3224.919	-3157.078	-67.84077	2.31176	0.262836	0.138047	0.641831	0.131074	0.268	0.0730806	0.00229212	0.167378	0.359217	0.436464	0.125847	0.547955	0.251487	1.49217	0.204192	0.0741117	0.412726	2.42697	0.184933	0.908352	0.117153	0.314766	0.131972	0.436109	0.00238062	0.0110454	0.00151036	0.00253731	0.00449781	0.00201087
333	1	-3680.762	-3705.043	24.28053	0.0198618	1.06701	0.0186872	0.107762	0.00373953	0.0374777	0.00313778	0.00400983	0.0236005	0.00743179	0.0125726	0.0152565	0.111217	0.00507811	0.000805949	0.00516489	0.00859774	0.0564391	0.124276	0.0201748	0.0768991	0.195105	0.206095	0.305926	0.292875	0.0760844	0.103495	0.0749035	0.0929901	0.0861702	0.0697293
334	0	-3231.785	-3160.498	-71.28641	2.42736	0.262052	0.292077	0.643297	0.121638	0.616347	0.037169	0.00499912	0.285097	0.538618	0.287812	0.0792546	1.22226	0.231426	0.941224	0.30501	0.069774	0.324317	2.4217	0.200936	0.455452	0.231279	0.305027	0.201439	0.262255	0.00295532	0.0079371	0.00040956	0.00312099	0.00497933	0.00204441
335	1	-3679.166	-3704.84	25.67369	0.0186385	0.996313	0.00951627	0.0549234	0.00280662	0.047926	0.00396974	0.00390808	0.0371473	0.00279508	0.0224383	0.00712587	0.103761	0.0119805	0.00155008	0.0176636	0.0102591	0.0344161	0.117018	0.0191457	0.0348557	0.174692	0.208584	0.320313	0.296411	0.0972307	0.0929802	0.0904983	0.0833574	0.101242	0.0697896
336	0	-3219.667	-3153.283	-66.38459	2.27694	0.313352	0.182135	0.791808	0.0585032	0.763051	0.0371064	0.00483291	0.208588	0.280276	0.252874	0.162529	0.31839	0.146863	1.14083	0.433511	0.0439529	0.280337	2.73674	0.241645	0.6103	0.124453	0.221781	0.124323	0.529442	0.00193341	0.00763881	0.000861048	0.00154569	0.00204836	0.000487558
337	1	-3686.88	-3713.846	26.96652	0.0432391	0.712019	0.01588	0.0756271	0.0026416	0.0174673	0.0110685	0.00188098	0.0387974	0.0126831	0.0253186	0.00732285	0.13795	0.0273364	0.00113894	0.00777536	0.0103944	0.0304962	0.10407	0.00145247	0.0796508	0.174692	0.208584	0.320313	0.296411	0.0907918	0.124793	0.137854	0.0735159	0.109609	0.063198
338	0	-3220.531	-3153.307	-67.22426	2.27694	0.250543	0.185048	0.604489	0.0474004	0.244364	0.0167008	0.0102959	0.491766	0.265384	0.303164	0.116542	0.413106	0.270806	1.45172	0.689454	0.0674871	0.370733	2.52567	0.338087	0.418662	0.0504906	0.186088	0.177666	0.585755	0.0025496	0.0152291	0.00106571	0.00136741	0.00367658	0.000805952
339	1	-3680.395	-3705.35	24.95556	0.0204475	0.991288	0.0208904	0.0918806	0.00649412	0.0271058	0.00962693	0.00334108	0.034951	0.0100046	0.0101289	0.00885683	0.0813262	0.0106412	0.00530135	0.00814411	0.00283778	0.0499948	0.131831	0.00607919	0.0649909	0.218902	0.18609	0.262461	0.332546	0.0687751	0.119562	0.0822569	0.100009	0.118626	0.0796788
340	0	-3222.248	-3153.979	-68.26851	2.35196	0.247009	0.0509946	0.587184	0.0314223	0.517947	0.00457232	0.0212981	0.194594	0.144629	0.460899	0.10206	0.426774	0.216109	1.23752	0.64435	0.0105974	0.0872165	2.79554	0.199644	1.13352	0.0508216	0.227211	0.309198	0.412769	0.00466026	0.00699536	0.00254648	0.00156404	0.00449528	0.00137941
341	1	-3681.868	-3706.225	24.35707	0.0229967	1.06349	0.0234337	0.076352	0.00284222	0.0241014	0.00816931	0.000852667	0.0156655	0.00913813	0.0131376	0.00490981	0.107749	0.0223635	0.00499065	0.0127955	0.00640046	0.0736873	0.0654372	0.00285666	0.0630694	0.217765	0.190318	0.261098	0.330819	0.100457	0.127788	0.0981452	0.103827	0.104466	0.0658015
342	0	-3218.397	-3171.725	-46.67122	2.09684	0.163886	0.0585491	0.515676	0.0510962	0.199477	0.00452897	0.0404994	0.211365	0.121669	0.104763	0.138558	0.449552	0.219583	0.895019	0.290027	0.0198066	0.226347	3.08994	0.0974198	0.312113	0.216541	0.250456	0.224732	0.308271	0.00145612	0.00802124	0.000408012	0.00206379	0.00573867	0.00334575
343	1	-3684.112	-3710.151	26.03893	0.0594837	0.898613	0.0149978	0.0687811	0.00315482	0.0221626	0.00777145	0.00731616	0.0305843	0.00906832	0.0158352	0.00247932	0.044765	0.0128289	0.00059687	0.0134699	0.0160112	0.0262395	0.105142	0.00641796	0.0803084	0.181474	0.195816	0.282333	0.340377	0.0889025	0.116717	0.127421	0.106273	0.0987679	0.0726242
344	0	-3221.537	-3176.157	-45.38034	2.44085	0.3094	0.0419339	0.56148	0.0805471	0.255168	0.00386023	0.0189436	0.206006	0.169711	0.100059	0.203968	0.265929	0.0845939	0.854996	0.100316	0.0160698	0.125388	2.86853	0.201672	0.259368	0.161936	0.276045	0.193346	0.368672	0.00100254	0.0183296	0.0013281	0.00368146	0.00388764	0.00163969
345	1	-3680.839	-3707.599	26.76069	0.0710631	0.72901	0.0118163	0.0880217	0.00194474	0.0248493	0.00342513	0.00979346	0.0396182	0.0042132	0.0210545	0.00280719	0.0869749	0.0144249	0.000925368	0.0067267	0.0127029	0.0550435	0.104596	0.00425642	0.0693432	0.210357	0.21058	0.327269	0.251794	0.0918435	0.112892	0.0978528	0.0821286	0.149458	0.0877716
346	0	-3211.894	-3150.025	-61.86882	2.39514	0.323752	0.0742874	0.684268	0.0527957	0.158857	0.018425	0.0188809	0.273869	0.137691	0.24666	0.0592559	0.567573	0.139998	1.28903	0.279008	0.0431681	0.167064	3.0448	0.115189	0.730847	0.104797	0.360174	0.169927	0.365102	0.00238523	0.0141073	0.00194517	0.00219115	0.00422304	0.00210617
347	1	-3678.299	-3703.366	25.0668	0.0277857	0.990043	0.00468752	0.0786391	0.00136286	0.0503524	0.00300761	0.0103214	0.0282148	0.00648859	0.0199383	0.00297083	0.110842	0.0132902	0.00068555	0.00537664	0.0182388	0.0603675	0.110088	0.00371387	0.0729764	0.197423	0.259119	0.307146	0.236312	0.0666697	0.100485	0.0992481	0.0948299	0.0857761	0.0875468
348	0	-3213.252	-3155.616	-57.63579	2.41163	0.243713	0.0784682	0.542869	0.166396	0.467681	0.0204777	0.00379232	0.322788	0.0409354	0.435166	0.12599	0.470981	0.10015	1.14587	0.278904	0.117272	0.116782	2.7212	0.19404	0.390309	0.048024	0.301413	0.159501	0.491062	0.00185671	0.0178151	0.00138246	0.00224378	0.00439675	0.00109265
349	1	-3684.106	-3708.995	24.88894	0.028551	0.965966	0.0154303	0.0850711	0.00182352	0.0126089	0.000911528	0.0154723	0.0347452	0.0242604	0.0230947	0.0258797	0.120377	0.00890631	0.00107773	0.006966	0.020202	0.0347937	0.116764	0.00320176	0.0375116	0.197702	0.208128	0.357524	0.236646	0.0756449	0.123341	0.116559	0.104033	0.118055	0.0504852
350	0	-3221.145	-3148.477	-72.66859	2.27709	0.336047	0.0989337	0.774763	0.334006	0.472115	0.007949	0.00427876	0.192109	0.0963652	0.577589	0.252777	0.392125	0.107786	1.14132	0.786181	0.0527358	0.0591336	3.15488	0.183792	0.605814	0.13213	0.250472	0.253401	0.363997	0.00367837	0.00793249	0.000675907	0.00269399	0.00404604	0.000676596
351	1	-3678.426	-3703.77	25.34398	0.0220299	0.984057	0.00938536	0.0715466	0.000671887	0.00924586	0.00226908	0.00714662	0.0468761	0.0172262	0.0112715	0.0167734	0.100903	0.0122788	0.00152831	0.00459498	0.0113565	0.0429586	0.0916551	0.00404623	0.0334735	0.177607	0.186974	0.323703	0.311716	0.101391	0.109101	0.0878802	0.115425	0.131423	0.0797133
352	0	-3212.465	-3151.628	-60.83622	2.27937	0.259471	0.0609935	0.753783	0.140157	0.274579	0.00874276	0.00435028	0.192656	0.100659	0.423	0.271417	0.666433	0.0402776	1.27422	0.207981	0.112653	0.16707	2.6152	0.206135	0.662836	0.107055	0.299665	0.279911	0.313368	0.00314016	0.0107517	0.0013449	0.00160526	0.00445258	0.00097418
353	1	-3679.15	-3706.028	26.87781	0.0124246	0.83899	0.00592449	0.0653721	0.000309372	0.0273578	0.00254125	0.00101812	0.0208774	0.0406332	0.0149119	0.0212807	0.0718341	0.0075272	0.00278293	0.00267942	0.013297	0.03739	0.0835663	0.00334239	0.0303498	0.197539	0.207957	0.360031	0.234472	0.110728	0.105363	0.11639	0.0870759	0.144635	0.104243
354	0	-3224.694	-3159.819	-64.87518	2.45138	0.197947	0.0931414	0.315226	0.0735951	0.414864	0.011617	0.0126204	0.520496	0.241035	0.550768	0.16819	0.512975	0.165972	1.09512	0.327281	0.218219	0.206467	2.87974	0.0951684	0.572631	0.09727	0.232364	0.237577	0.432789	0.00449836	0.0130608	0.000501601	0.000757757	0.00387731	0.000998976
355	1	-3681.836	-3707.126	25.29023	0.0135647	1.002	0.0118185	0.0324912	0.00118581	0.0355849	0.0039987	0.00227979	0.0196031	0.0159278	0.0362957	0.0175077	0.0888785	0.0169389	0.004264	0.00819493	0.0146916	0.0300657	0.082178	0.00231852	0.0540215	0.19477	0.257359	0.342233	0.205638	0.0999066	0.101303	0.126959	0.0988111	0.126686	0.0841278
356	0	-3218.12	-3167.442	-50.67838	2.02603	0.189035	0.0746617	0.291343	0.250748	0.257874	0.0171034	0.00609055	0.336535	0.151671	0.501149	0.0713822	0.26215	0.382066	1.01066	0.0448355	0.208361	0.11736	2.87974	0.0724157	0.55751	0.169714	0.252438	0.283777	0.294072	0.00184974	0.00950753	0.000250008	0.00159518	0.00512431	0.00141663
357	1	-3681.079	-3706.952	25.87322	0.040894	1.002	0.0228961	0.0566837	0.00261968	0.0159933	0.00747062	0.00103211	0.0250054	0.0249478	0.0232736	0.0204481	0.0829402	0.0136002	0.00328687	0.0134667	0.00846585	0.0295611	0.0655847	0.00687203	0.0481303	0.225037	0.24675	0.267625	0.260588	0.0698663	0.10551	0.102189	0.0842642	0.108233	0.088068
358	0	-3223.893	-3171.658	-52.23528	2.17301	0.207304	0.0967807	0.707695	0.30087	0.426393	0.00963739	0.00742106	0.338007	0.0655333	0.368362	0.0691879	0.1632	0.354116	1.2063	0.0383034	0.0451944	0.238069	2.37777	0.233493	0.433079	0.314554	0.203826	0.253811	0.227809	0.00322838	0.0125695	9.71333e-05	0.0022028	0.00492711	0.00140109
359	1	-3675.82	-3701.079	25.25901	0.0121959	1.01802	0.0137107	0.0622995	0.00157221	0.0342778	0.00239887	0.00112242	0.0332146	0.013008	0.0398734	0.00521137	0.0696517	0.0105192	0.00279821	0.00609094	0.0107144	0.0430513	0.0932018	0.00653094	0.0542983	0.207753	0.227798	0.323876	0.240573	0.0687738	0.134618	0.0881611	0.0953781	0.118777	0.0952568
360	0	-3223.521	-3163.195	-60.32643	2.36834	0.204598	0.146853	0.955774	0.109323	0.388414	0.0102221	0.0107916	0.416885	0.0688639	0.360804	0.143147	0.128243	0.249574	1.17002	0.0306062	0.200783	0.656596	2.51988	0.0656127	0.472441	0.298359	0.258049	0.203175	0.240417	0.000937828	0.00533688	9.22481e-05	0.00181879	0.006377	0.00093554
361	1	-3676.805	-3702.613	25.80754	0.0208623	0.932938	0.0110478	0.0488723	0.00328128	0.0293703	0.00555847	0.00358034	0.0349877	0.0132075	0.0197353	0.00617185	0.11511	0.00696985	0.0094894	0.0059712	0.0152397	0.0308834	0.137758	0.0014723	0.0452563	0.224072	0.209834	0.322434	0.24366	0.0748662	0.131975	0.0770364	0.10473	0.111137	0.0823642
362	0	-3220.426	-3156.245	-64.18081	2.32319	0.271637	0.0912423	0.56138	0.171579	0.431994	0.0171909	0.0139853	0.724591	0.0739485	0.356728	0.0721845	0.707847	0.125923	1.2319	0.0733921	0.27667	0.107738	2.65706	0.0761833	0.693877	0.245604	0.203326	0.415159	0.135911	0.00110273	0.00592032	0.000388122	0.0014171	0.0080613	0.001574
363	1	-3683.336	-3708.757	25.42142	0.0225763	0.932938	0.00848208	0.0531638	0.00772281	0.069466	0.00431403	0.00249741	0.0273621	0.0113329	0.0284905	0.00280595	0.0945446	0.00993802	0.0148125	0.00201554	0.00494332	0.037939	0.0976781	0.0060102	0.0489382	0.211278	0.239789	0.304024	0.244908	0.060876	0.111783	0.110002	0.117284	0.138554	0.0920137
364	0	-3220.012	-3161.689	-58.32309	1.89428	0.146841	0.180514	0.524956	0.238808	0.362035	0.00706201	0.00863093	0.294441	0.0984219	0.618134	0.0445957	0.745861	0.294944	1.24849	0.0230225	0.231029	0.250233	2.65706	0.0330336	0.56772	0.169412	0.196079	0.198301	0.436208	0.00133689	0.0119208	0.000431738	0.0031873	0.00550864	0.000437241
365	1	-3682.64	-3708.462	25.82229	0.015911	0.932938	0.00405512	0.0727354	0.0179702	0.03548	0.00226509	0.00259453	0.0196557	0.00688787	0.0245655	0.00278584	0.0752428	0.00826813	0.0139396	0.00401467	0.0163381	0.0356672	0.125716	0.0197747	0.0307404	0.211278	0.239789	0.304024	0.244908	0.0729492	0.119922	0.103524	0.105954	0.130867	0.0776339
366	0	-3213.01	-3150.28	-62.73007	2.22771	0.180463	0.1843	0.862104	0.100208	0.241316	0.0154408	0.0651889	0.287476	0.061466	0.195225	0.0487268	0.33439	0.107149	2.3065	0.040667	0.161913	0.153104	2.78781	0.0449576	0.502645	0.133196	0.240232	0.286568	0.340004	0.0018324	0.0113563	0.00275	0.00245154	0.00608906	0.000392484
367	1	-3682.825	-3708.105	25.28079	0.00274017	0.939919	0.00642944	0.0601417	0.0156905	0.0253324	0.00222572	0.00239612	0.0202335	0.00624856	0.0237206	0.0065597	0.108051	0.0035918	0.012959	0.0163928	0.019695	0.0457432	0.132678	0.00971938	0.0197668	0.204278	0.239514	0.290508	0.2657	0.0736783	0.133264	0.117104	0.107148	0.11626	0.104859
368	0	-3216.07	-3159.724	-56.34632	2.21703	0.190657	0.195428	0.957715	0.10069	0.250313	0.0107697	0.135154	0.310607	0.120535	0.494433	0.0543344	0.198584	0.195651	0.77584	0.0308517	0.0707275	0.414021	2.78781	0.143396	0.610568	0.105662	0.153011	0.30265	0.438677	0.00437928	0.0133174	0.00149642	0.00377924	0.00632833	0.000847578
