Iteration	Replicate_ID	Posterior	Likelihood	Prior	branch_lengths[1]	branch_lengths[2]	branch_lengths[3]	branch_lengths[4]	branch_lengths[5]	branch_lengths[6]	branch_lengths[7]	branch_lengths[8]	branch_lengths[9]	branch_lengths[10]	branch_lengths[11]	branch_lengths[12]	branch_lengths[13]	branch_lengths[14]	branch_lengths[15]	branch_lengths[16]	branch_lengths[17]	branch_lengths[18]	branch_lengths[19]	branch_lengths[20]	branch_lengths[21]	gamma	phi[1]	phi[2]	phi[3]	phi[4]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]
13	1	-5336.988	-5286.237	-50.75188	1.53335	0.286831	0.260168	1.20769	0.295186	0.0624727	0.0259714	0.181096	0.412794	0.489375	0.773469	0.410753	0.0853085	0.0761423	0.166176	0.00371488	2.33399	0.0961553	0.00464315	0.314352	0.464147	1.313687	1	1.31369	1.31369	1	0.322395	0.162951	0.172229	0.342425	0.0242519	0.0274166	0.010877	0.0167757	0.0211001	0.020233
14	0	-5985.772	-5983.375	-2.397614	0.617158	0.974274	0.00166967	0.379071	0.0908715	0.0178497	0.000813835	0.0445319	0.181037	0.106461	0.135412	0.146944	0.0111814	0.174925	0.00329285	0.0580369	0.471914	0.0179444	0.0895951	0.810414	0.0172296	1.581262	1	1.58126	1.58126	1	0.340383	0.146216	0.179985	0.333417	0.0735498	0.0635684	0.061755	0.078375	0.0603261	0.0540608
15	1	-5323.228	-5259.451	-63.77726	1.72924	0.357008	0.130979	1.16999	0.4008	0.0452314	0.0275767	0.1821	0.820385	0.709763	0.346964	0.6649	0.0739465	0.173103	0.220561	0.00704577	2.65853	0.0865608	0.00525031	0.259034	0.730204	1.20298	1	1.20298	1.20298	1	0.271931	0.175014	0.18528	0.367775	0.0212571	0.0310653	0.00648521	0.0252177	0.0178873	0.0169729
16	0	-5975.227	-5956.701	-18.52601	0.87165	1.3078	0.00137814	0.404052	0.173516	0.0366896	0.00107441	0.0452212	0.184937	0.140197	0.29851	0.19847	0.0117958	0.18775	0.0008556	0.101721	0.732108	0.0484701	0.089825	1.12281	0.0159081	1.471145	1	1.47114	1.47114	1	0.385264	0.137958	0.158337	0.31844	0.0786919	0.0628176	0.0462628	0.078375	0.0668104	0.0584201
17	1	-5318.783	-5238.772	-80.01064	2.06534	0.459489	0.0392097	1.41215	0.862559	0.159729	0.0296157	0.160014	0.76498	0.478012	0.683607	0.529835	0.0746778	0.104344	0.422141	0.0131365	2.8743	0.195622	0.00355634	0.347603	0.748484	1.184462	1	1.18446	1.18446	1	0.250674	0.161334	0.248965	0.339027	0.0335242	0.0158538	0.00993321	0.0167471	0.0224843	0.0162969
18	0	-5968.249	-5943.182	-25.06637	0.912928	1.54281	0.000908969	0.498599	0.123706	0.0210727	0.00297188	0.0475127	0.31639	0.0993266	0.193681	0.247118	0.0216457	0.319826	0.000505605	0.12403	0.791804	0.0754872	0.121641	1.17673	0.0244891	1.405256	1	1.40526	1.40526	1	0.320534	0.137594	0.14919	0.392681	0.060665	0.0539497	0.0441236	0.0878182	0.0585067	0.0584906
19	1	-5307.099	-5234.146	-72.95329	1.95079	0.383383	0.0375478	1.66751	0.265305	0.0927742	0.0121168	0.157934	0.848428	0.36876	0.716523	0.426918	0.0537626	0.131511	0.36987	0.0143823	2.88728	0.250679	0.00260916	0.167133	0.917368	1.197202	1	1.1972	1.1972	1	0.293231	0.184626	0.184154	0.337989	0.0222194	0.0156262	0.00993286	0.0223618	0.0223896	0.0211096
20	0	-5968.372	-5941.879	-26.49322	0.844266	1.69615	0.0057958	0.328455	0.123792	0.047401	0.00230307	0.0812302	0.357474	0.162585	0.246235	0.163199	0.0445703	0.45591	0.000946119	0.099143	0.778238	0.0489461	0.131278	1.19687	0.0130926	1.405256	1	1.40526	1.40526	1	0.354284	0.129723	0.164899	0.351094	0.0743092	0.0530306	0.0377557	0.0755791	0.0537598	0.0471091
21	1	-5312.807	-5235.633	-77.17413	1.95079	0.420271	0.146461	1.57984	0.335427	0.16417	0.00601542	0.157468	0.726783	0.646535	0.663441	0.559823	0.110159	0.356088	0.344615	0.00997028	2.66116	0.536694	0.00179798	0.141994	0.630314	1.208801	1	1.2088	1.2088	1	0.284007	0.187035	0.186558	0.3424	0.0270694	0.0201378	0.00811243	0.0181798	0.0158158	0.0180158
22	0	-5970.917	-5943.069	-27.84777	0.852666	1.9247	0.00154713	0.480918	0.102232	0.0234766	0.0023626	0.0692757	0.288206	0.16445	0.155006	0.218632	0.0342731	0.275902	0.00107515	0.0685494	0.982262	0.0412736	0.0790351	1.16969	0.0181237	1.405256	1	1.40526	1.40526	1	0.355985	0.130346	0.165691	0.347978	0.0601914	0.0533533	0.0406148	0.0714211	0.0596124	0.066033
23	1	-5312.469	-5250.782	-61.68734	2.00679	0.396816	0.146576	1.40416	0.203283	0.115619	0.0087661	0.268589	0.521335	0.4668	0.611252	0.510927	0.149559	0.159061	0.26719	0.0125026	2.46315	0.25052	0.00384788	0.0645556	0.565967	1.208801	1	1.2088	1.2088	1	0.235517	0.182859	0.215281	0.366342	0.0200061	0.0248309	0.0115651	0.0150312	0.0195565	0.0202276
24	0	-5968.091	-5946.217	-21.87322	0.887343	1.38335	0.00278965	0.403478	0.0943743	0.024062	0.0080073	0.024329	0.253509	0.12362	0.246614	0.255789	0.0334814	0.368152	0.00213112	0.0798161	0.854317	0.0778902	0.108867	1.09994	0.0123174	1.414443	1	1.41444	1.41444	1	0.355985	0.130346	0.165691	0.347978	0.0798892	0.0428061	0.0373723	0.0865701	0.0607214	0.0549644
25	1	-5311.391	-5244.059	-67.33189	1.97	0.374032	0.0285951	1.17643	0.31698	0.104889	0.0190143	0.135304	0.89512	0.35916	0.800849	0.376035	0.0544717	0.0957519	0.329216	0.00767337	2.7231	0.262288	0.0013677	0.0707773	1.04594	1.20617	1	1.20617	1.20617	1	0.362941	0.219366	0.129536	0.288157	0.0167016	0.0244399	0.0087792	0.025512	0.0193063	0.0314694
26	0	-5977.01	-5954.594	-22.41627	0.968419	1.38335	0.00362548	0.430366	0.0712679	0.0678745	0.0211625	0.0588246	0.267249	0.0905428	0.246456	0.14878	0.0632061	0.238084	0.00238366	0.135016	0.909862	0.0344961	0.0877541	1.14929	0.0103164	1.395085	1	1.39508	1.39508	1	0.355426	0.126095	0.171047	0.347432	0.0779906	0.0615931	0.055025	0.0590683	0.0607044	0.0600349
27	1	-5317.035	-5233.179	-83.85518	1.95195	0.374032	0.00815142	1.58289	0.459248	0.17172	0.0402073	0.214537	0.903963	0.436939	0.649585	0.661075	0.061086	0.251215	0.268797	0.00907271	3.25391	0.18465	0.000613295	0.165197	1.16835	1.204868	1	1.20487	1.20487	1	0.309228	0.206118	0.204328	0.280326	0.0251878	0.0209232	0.00751309	0.0210131	0.018851	0.014981
